Event	ID	Name			Wwise Object Path	Notes
	4195921398	MusicTest			\MusicEvents\MusicTest	

Game Parameter	ID	Name			Wwise Object Path	Notes
	1493153371	PlayerSpeed			\Default Work Unit\PlayerSpeed	
	2480792759	InCalmZone			\Default Work Unit\Music\InCalmZone	
	3899915506	PlayerOnSlope			\Default Work Unit\PlayerOnSlope	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	194851116	ThreeBarSimpleHat	C:\Users\dadiu\Dropbox\DADIU\Wwise\Minigame2_WwiseProject\PetraPunk_WwiseProject\.cache\Android\SFX\ThreeBarSimpleHat_9F132F2F.wem		\Interactive Music Hierarchy\MusicWorkUnit\Beats\BeatsStart\ThreeBarSimpleHat\ThreeBarSimpleHat		308931
	282085368	NewBasssssss	C:\Users\dadiu\Dropbox\DADIU\Wwise\Minigame2_WwiseProject\PetraPunk_WwiseProject\.cache\Android\SFX\NewBasssssss_9F132F2F.wem		\Interactive Music Hierarchy\MusicWorkUnit\New\Bass\NewBasssssss\NewBasssssss		353982
	286810249	16BarBeat2	C:\Users\dadiu\Dropbox\DADIU\Wwise\Minigame2_WwiseProject\PetraPunk_WwiseProject\.cache\Android\SFX\16BarBeat2_9F132F2F.wem		\Interactive Music Hierarchy\MusicWorkUnit\Beat2\16BarBeat2\16BarBeat2		811238
	419355521	NewCalmBeat1	C:\Users\dadiu\Dropbox\DADIU\Wwise\Minigame2_WwiseProject\PetraPunk_WwiseProject\.cache\Android\SFX\NewCalmBeat1_9F132F2F.wem		\Interactive Music Hierarchy\MusicWorkUnit\Beats\BeatsIntense\NewCalmBeat1\NewCalmBeat1		426873
	458543221	Melodi	C:\Users\dadiu\Dropbox\DADIU\Wwise\Minigame2_WwiseProject\PetraPunk_WwiseProject\.cache\Android\SFX\Melodi_9F132F2F.wem		\Interactive Music Hierarchy\MusicWorkUnit\Pingermucis\Melodi\Melodi		656329
	834897999	NewIntenseBeat1	C:\Users\dadiu\Dropbox\DADIU\Wwise\Minigame2_WwiseProject\PetraPunk_WwiseProject\.cache\Android\SFX\NewIntenseBeat1_9F132F2F.wem		\Interactive Music Hierarchy\MusicWorkUnit\Beats\BeatsIntenser\NewIntenseBeat1\NewIntenseBeat1		440323
	861130625	NewCalmBeat2	C:\Users\dadiu\Dropbox\DADIU\Wwise\Minigame2_WwiseProject\PetraPunk_WwiseProject\.cache\Android\SFX\NewCalmBeat2_9F132F2F.wem		\Interactive Music Hierarchy\MusicWorkUnit\Beats\BeatsIntense\NewCalmBeat2\NewCalmBeat2		426832
	890714625	NewIntroBeat	C:\Users\dadiu\Dropbox\DADIU\Wwise\Minigame2_WwiseProject\PetraPunk_WwiseProject\.cache\Android\SFX\NewIntroBeat_9F132F2F.wem		\Interactive Music Hierarchy\MusicWorkUnit\Beats\BeatsStart\NewIntroBeat\NewIntroBeat		199973
	1022102426	NewIntenseBeat2	C:\Users\dadiu\Dropbox\DADIU\Wwise\Minigame2_WwiseProject\PetraPunk_WwiseProject\.cache\Android\SFX\NewIntenseBeat2_9F132F2F.wem		\Interactive Music Hierarchy\MusicWorkUnit\Beats\BeatsIntenser\NewIntenseBeat2\NewIntenseBeat2		446478

