Event	ID	Name			Wwise Object Path	Notes
	365331358	AmbienceMain			\Ambience\AmbienceMain	
	506989395	MusicDron			\MusicEvents\MusicDron	
	556785088	Logo			\Logo\Logo	
	779278001	Death			\UI and Event\Death	
	900571619	SteamPipe			\Obstacles\SteamPipe	
	1269172605	TestAudio			\Default Work Unit\TestAudio	
	1432588725	Select			\UI and Event\Select	
	1805963995	PitFall			\PlayerCharacter\PitFall	
	1942692385	Dash			\PlayerCharacter\Movement\Dash	
	2385628199	FootstepR			\PlayerCharacter\Movement\Footsteps\FootstepR	
	2385628217	FootstepL			\PlayerCharacter\Movement\Footsteps\FootstepL	
	2404675871	DashUncool			\PlayerCharacter\Movement\DashUncool	
	2767591232	SpeedWhoosh			\PlayerCharacter\Movement\SpeedWhoosh	
	2886188696	FootStepLoopPlaceholder			\PlayerCharacter\Movement\FootStepLoopPlaceholder	
	3015288684	PipeHit			\Obstacles\PipeHit	
	3686556480	Slide			\PlayerCharacter\Movement\Slide	
	3831688773	PlayerHit			\PlayerCharacter\PlayerHit	
	3978245845	PickUp			\UI and Event\PickUp	
	4149105284	Jumppad			\PlayerCharacter\Movement\Jumppad	
	4195921398	MusicTest			\MusicEvents\MusicTest	

Game Parameter	ID	Name			Wwise Object Path	Notes
	1493153371	PlayerSpeed			\Default Work Unit\PlayerSpeed	
	2480792759	InCalmZone			\Default Work Unit\Music\InCalmZone	
	3353550816	DistanceToObstacle			\Default Work Unit\DistanceToObstacle	
	3374585465	InMenu			\Default Work Unit\InMenu	
	3861168114	JumpPassTest			\Default Work Unit\JumpPassTest	
	3899915506	PlayerOnSlope			\Default Work Unit\PlayerOnSlope	

Modulator LFO	ID	Name			Wwise Object Path	Notes
	51958291	CricketsLFO_01			\Default Work Unit\CricketsLFO_01	
	391208523	CricketsLFO_02			\Default Work Unit\CricketsLFO_02	
	720429667	TimeMaybe			\Default Work Unit\TimeMaybe	

Effect plug-ins	ID	Name	Type				Notes
	605721330	Wwise_Parametric_EQ_(Custom)	Wwise Parametric EQ			
	933393503	Wwise_Gain_(Custom)	Wwise Gain			

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	453202908	SoundSeed Air Wind	SoundSeed Air Wind		\Actor-Mixer Hierarchy\PlayerCharacter\WhooshMix\PlayerSpeedWoosh\SoundSeed Air Wind	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	40859388	Ambient2MenuTutorial	C:\Users\dadiu\Dropbox\DADIU\Wwise\Minigame2_WwiseProject\PetraPunk_WwiseProject\.cache\Android\SFX\Ambient2MenuTutorial_943146C4.wem		\Interactive Music Hierarchy\MusicWorkUnit\New\MenuDrone\Ambient2MenuTutorial\Ambient2MenuTutorial		5999274
	41939804	CalmDrone	C:\Users\dadiu\Dropbox\DADIU\Wwise\Minigame2_WwiseProject\PetraPunk_WwiseProject\.cache\Android\SFX\CalmDrone_943146C4.wem		\Interactive Music Hierarchy\MusicWorkUnit\Calm drone\CalmDrone\CalmDrone		4833626
	51472917	FootStep_02	C:\Users\dadiu\Dropbox\DADIU\Wwise\Minigame2_WwiseProject\PetraPunk_WwiseProject\.cache\Android\SFX\FootStep_02_8850A93A.wem		\Actor-Mixer Hierarchy\PlayerCharacter\RunMix\Footstep\FootStep_02		15254
	52993535	FluteAmb_01	C:\Users\dadiu\Dropbox\DADIU\Wwise\Minigame2_WwiseProject\PetraPunk_WwiseProject\.cache\Android\SFX\FluteAmb_01_8850A93A.wem		\Actor-Mixer Hierarchy\Ambience\AmbienceMix\Flutes\FluteAmb_01		801550
	54351493	Grunt_01	C:\Users\dadiu\Dropbox\DADIU\Wwise\Minigame2_WwiseProject\PetraPunk_WwiseProject\.cache\Android\SFX\Grunt_01_8850A93A.wem		\Actor-Mixer Hierarchy\PlayerCharacter\Grunts\Grunts\Grunt_01		32574
